41725,89079,Jacob Carr,6,folder,officesupplies,Card,1,14.2,2021-10-06 06:51:02,Bangladesh,Dhaka,Fred and Friends,30062,Y, 
71457,75846,Madalyn Payne,2,pencil,writingutensils,Card,1,14.2,2021-09-23 05:51:02,Japan,Ōsaka,Quill,61250,Y, 
15616,35512,Karley Hooper,21,ti84,calculatortypes,Wallet,4,12.56,2021-08-19 03:51:02,United States,Washington,Wayfair,66493,Y, 
24819,67535,Gracelyn Campbell,18,ruler,measurement,Wallet,8,23.21,2021-06-14 08:51:02,India,Patna,Quill,77870,N,Limit Exceeded
31407,34613,Jax Ray,23,ti89,calculatortypes,Wallet,8,23.21,2021-08-16 06:51:02,Myanmar,Rangoon,Tokyo Pen Shop,96205,Y, 
49462,70210,Khloe Haas,13,marker,writingutensils,UPI,7,56.58,2021-05-01 03:51:02,Pakistan,Karachi,Pottery Barn,30650,Y, 
18800,68509,Adonis Mccann,8,ink,officesupplies,Internet Banking,6,34.1,2021-11-07 02:51:02,Brazil,Rio de Janeiro,Muji,41512,Y, 
52590,27009,James Ramos,1,pen,writtingutensils,Wallet,8,23.21,2021-12-01 02:51:02,South Korea,Incheon,Ban.Do,86175,Y, 
74400,79991,Keagan Vaughan,20,basiccalculator,calculatortypes,Internet Banking,6,34.1,2021-07-28 11:51:02,Guatemala,Guatemala City,Quill,93244,Y, 
94872,10397,Abdullah Raymond,13,marker,writingutensils,Wallet,4,12.56,2021-05-16 07:51:02,Mexico,Mexico City,This is Why I’m Broke,88477,Y, 
94509,61398,Collin Armstrong,21,ti84,calculatortypes,Card,1,14.2,2021-06-07 03:51:02,Brazil,San Paulo,Night Owl Paper Goods,47829,Y, 
72203,45664,Kristopher Boyd,11,bin,officesupplies,Card,1,14.2,2021-07-20 02:51:02,Uzbekistan,Tashkent,West Elm,41247,Y, 
80235,69326,Jeffrey Herrera,11,bin,officesupplies,UPI,7,56.58,2021-02-14 02:51:02,United States,Minneapolis,Poppin,43737,Y, 
82564,37318,Amara Durham,12,eraser,writingutensils,UPI,7,56.58,2021-02-05 08:51:02,Mexico,Mexico City,Kate Spade,75924,Y, 
72741,68006,Cody Tate,23,ti89,calculatortypes,Card,1,14.2,2021-09-03 05:51:02,Brazil,San Paulo,Mod Cloth,42954,Y, 
65360,64137,Alberto Maldonado,19,protractor,measurement,UPI,7,56.58,2021-08-19 04:51:02,Russia,Saint Petersburg,Supply Geeks,60256,Y, 
38977,21358,Isis Wade,4,artpaper,paper,Wallet,8,23.21,2021-08-29 09:51:02,United States,Houston,Glam & Paper,13533,Y, 
18060,36665,Harley Howell,21,ti84,calculatortypes,Wallet,4,12.56,2021-03-27 03:51:02,Brazil,Rio de Janeiro,Mochi Things,43309,Y, 
90355,15714,James Ramos,2,pencil,writingutensils,Internet Banking,2,60.18,2021-05-09 02:51:02,United Kingdom,London,Things Remembered,58095,Y, 
44491,54128,Keenan Ellison,24,BAIIplus,calculatortypes,UPI,7,56.58,2021-03-31 09:51:02,South Korea,Seoul,Fred and Friends,76308,Y, 
15625,89381,Lara Chang,21,ti84,calculatortypes,Card,1,14.2,2021-10-17 08:51:02,China,Chengde,Paperchase,62555,N,Invalid Account #
80764,82555,Aubrey Oneill,18,ruler,measurement,UPI,3,4.32,2021-05-15 02:51:02,United States,Boston,Moleskine,82727,Y, 
